tradspell,augmented,freq,rank
blahblah,blahblah,999999,0
was,was!woś,10,9.23972
by,bŷ,19,5.13075
my,mŷ,67,1.52626
government,gővèŕnmént,138,0.62268
want,want!wont,149,0.57547
why,wħŷ,163,0.50877
one,one!wun,182,0.45865
system,sųstém,187,0.44673
women,women!wimin,207,0.39916
enough,enough!inuf,262,0.32593
half,hāl0f,284,0.2978
eyes,èŷèś,285,0.29702
once,once!wuns,308,0.27543
question,qυesţìòn,327,0.26219
wanted,wanted!wontéd,375,0.23631
try,trŷ,430,0.21393
rather,raτħèŕ,433,0.21341
century,çentûrý,468,0.19733
someone,someone!sumwun,500,0.18681
trying,trŷiñg0,504,0.18644
type,tŷpè,547,0.17315
systems,sųstémś,549,0.17275
anyone,anyone!enýwun,644,0.14956
questions,qυesţìònś,671,0.14401
everyone,everyone!evèrýwun,716,0.13337
analysis,ánalųsís,724,0.13239
myself,mŷself,768,0.12539
buy,bùŷ,769,0.12537
july,jülŷ,816,0.11898
reading,rêàdiñg0,907,0.10901
picture,picťùŕè,909,0.10888
style,stŷlè,924,0.10711
ones,ones!wunz,935,0.10622
supply,supp0lŷ,1042,0.09589
physical,þħųśicál,1043,0.09575
eye,èŷè,1045,0.09571
associated,áss0ôçïâtéd,1081,0.09246
bought,bought!bøt,1103,0.09073
wants,wants!wonts,1112,0.08977
types,tŷpès,1128,0.08882
culture,culťùŕè,1184,0.08567
lived,livèd,1225,0.08224
apply,ápp0lŷ,1273,0.07945
dry,drŷ,1522,0.06622
usual,ûŝüál,1607,0.0626
attitude,att0ítûdè,1668,0.06006
encourage,ėncòuráĝè,1943,0.05125
identify,îdentífŷ,1989,0.05016
sky,skŷ,1998,0.04984
laughed,laughed!lāfd,2034,0.04874
typical,tųpícál,2039,0.04864
lying,lŷiñg0,2066,0.04793
flying,flŷiñg0,2075,0.04769
intention,intenťìón,2095,0.04723
fashion,faŝħìón,2101,0.047
buying,bùŷiñg0,2171,0.0455
religion,rėliĝìón,2250,0.04388
reply,rėplŷ,2297,0.04305
guy,gùŷ,2358,0.0419
realise,rêálîśè,2512,0.03904
fly,flŷ,2551,0.0381
laugh,laugh!lāf,2552,0.03804
nearby,nėàŕbŷ,2685,0.0358
circle,çìŕclè,2697,0.03562
rough,rough!ruf,2726,0.03526
cry,crŷ,2891,0.03281
cycle,çŷclè,2918,0.03245
tough,tough!tuf,2920,0.03242
numerous,nüméróùs,2929,0.0323
intervention,intèŕvenťìón,2968,0.03179
symptoms,sųmptómś,3018,0.03125
matches,matĉħėś,3132,0.02974
underlying,undèŕlŷiñg0,3203,0.02887
dying,dŷiñg0,3248,0.02839
psychological,p0sŷcħóloĝicál,3303,0.02784
rely,rėlŷ,3340,0.0272
buyer,bùŷèŕ,3354,0.02708
laughing,laughing!lāfiñg0,3419,0.0264
psychology,p0sŷcħolóĝý,3461,0.02597
consciousness,conŝc0ìóùsnéss0,3479,0.02576
squad,squad!skwod,3510,0.02547
presents,preśénts,3580,0.02481
surrounded,súrr0õùndėd,3653,0.02426
bare,bãŕè,3695,0.02383
roughly,roughly!ruflý,3758,0.02328
deny,dėnŷ,3843,0.02265
mystery,mųstérý,3854,0.02256
laughter,laughter!lāftèŕ,3885,0.02232
egypt,êĝųpt,3914,0.02208
recovered,récővèŕèd,3948,0.02183
sympathy,sųmpáπħý,3985,0.02152
typically,tųpicàll0ý,4008,0.02131
viewed,vĭëwèd,4030,0.02123
crystal,crųstál,4045,0.02111
justify,justífŷ,4138,0.02051
styles,stŷlèś,4209,0.02005
favoured,favòùŕèd,4210,0.02005
tremendous,trėmendóùs,4226,0.01995
physically,þħųśicáll0ý,4227,0.01994
crying,crŷiñg0,4241,0.01988
applying,ápp0lŷiñg0,4278,0.01971
satisfy,satísfŷ,4291,0.01965
colonel,colonel!kŕnél,4305,0.01961
whereby,wħeŕèbŷ,4306,0.01961
oxygen,oxųĝén,4388,0.01902
physics,þħųśics,4458,0.01862
allied,all0îèd--HETERONYM--áll0îèd,4466,0.01859
scheduled,scħeδülèd,4511,0.01832
marvellous,mārvéll0òús,4518,0.01828
questioned,qυesťíònèd,4537,0.01817
analysed,análŷśèd,4576,0.01799
symbol,sųmból,4592,0.01793
bye,bŷè,4645,0.01765
implemented,implémentéd,4679,0.01747
dynamic,dŷnamic,4693,0.01743
systematic,sųstématic,4786,0.01694
hypothesis,hŷpoπħésís,4869,0.01654
buyers,bùŷèŕś,4875,0.01652
advisory,advîśórý,4885,0.01646
worship,wòŕŝħíp,4946,0.01622
elaborate,ėlabórâtè,4985,0.01606
identifying,îdentífŷiñg0,5035,0.01582
freud,freud!frŏd,5038,0.0158
couples,còuplèś,5051,0.01574
ambitious,ambiţìóùs,5120,0.01541
switzerland,switzèŕlánd,5127,0.01539
rhythm,rħųτħm,5173,0.01521
sympathetic,sųmpáπħetic,5176,0.0152
yer,yèŕ,5212,0.01503
myth,mųπħ,5244,0.01493
goodbye,gōòdbŷè,5265,0.01486
imply,implŷ,5294,0.01477
extract,extract,5308,0.01473
neighbourhood,neig0ħbòùŕhōòd,5368,0.01452
interrupted,intérr0uptėd,5394,0.01444
rabbit,rabb0it,5401,0.01441
bureau,bureau!bûrô,5402,0.0144
comply,cómplŷ,5434,0.01432
accounted,ácc0õùntéd,5500,0.01406
symbolic,sųmbolic,5591,0.01375
mysterious,mųstėrïòus,5672,0.01344
olympic,ólųmpic,5700,0.01337
criticised,critiçiśèd,5792,0.01309
analyse,análŷśè,5809,0.01305
analyses,ánalŷśėś,5816,0.01303
symbols,sųmbólś,5828,0.013
diesel,dïèśél,5845,0.01294
varies,vãrïèś,5854,0.01292
islamic,iślamic,5858,0.0129
coupled,còuplèd,5923,0.01271
specify,speçífŷ,5931,0.01267
centred,çentŕèd,5936,0.01266
ageing,aĝèiñg0,5944,0.01263
guys,gùŷś,6001,0.01244
syndrome,sųndrômè,6085,0.01221
practised,practisèd,6086,0.01221
protested,prótestéd,6094,0.01218
polytechnic,polýtecħnic,6100,0.01217
hydrogen,hŷdróĝén,6136,0.01207
associate,áss0ôćïâtè,6141,0.01207
mineral,minèrál,6151,0.01205
robyn,robųn,6152,0.01205
synthesis,sųnπħésís,6173,0.01199
viewing,vĭëwiñg0,6200,0.0119
shy,ŝħŷ,6201,0.0119
anonymous,ánonųmòus,6252,0.01177
emphasised,emþhasîśèd,6257,0.01176
fry,frŷ,6356,0.01153
ruined,rüinèd,6375,0.01147
cautious,cåùţìòús,6389,0.01144
lifestyle,lîfèstŷlè,6482,0.01118
analysts,análųsts,6498,0.01113
modelling,modéll0iñg0,6544,0.011
specialised,speçialiśèd,6549,0.01099
egyptian,ėĝųpţìán,6575,0.01094
psychiatric,p0sŷcħïatric,6609,0.01087
graduates,graδüâtès,6635,0.01081
practising,practisiñg0,6641,0.01079
failures,failures!fâlyŕś,6642,0.01079
occupy,occ0ûpŷ,6744,0.01051
recycling,rêçŷcliñg0,6769,0.01045
sydney,sųdnêy0,6916,0.01011
choir,choir!kwîá,6933,0.01008
firing,firing!fîariñg0,6956,0.01003
satisfying,satisfŷiñg0,6987,0.00997
associates,áss0ôćïâtès,6990,0.00997
bourgeois,bourgeois!børjwā,7001,0.00996
maths,maπħs,7039,0.00989
veteran,vetèrán,7156,0.00967
supplying,supp0lŷiñg0,7232,0.00955
characterised,cħãráctérîśèd,7258,0.00952
eyebrows,èŷèbrõw0ś,7277,0.00949
peripheral,périþħérál,7315,0.00939
financed,fînançèð,7357,0.00932
ryan,rŷán,7364,0.00931
cylinder,çųlíndèŕ,7407,0.00924
asylum,ásŷlum,7425,0.00921
lydia,lųdïá,7437,0.00918
syria,sųrïá,7600,0.00888
syntactic,sųntactic,7645,0.00881
teesside,têèss0îdè,7720,0.00869
psychologists,p0sŷcħolóĝísts,7736,0.00866
documentary,docûmentàrý,7761,0.00861
ally,all0ŷ,7767,0.0086
advocate,advócâtè,7768,0.0086
bicycle,bîçųclè,7794,0.00855
analysing,análŷśiñg0,7802,0.00855
cycling,çŷcliñg0,7837,0.00847
cycles,çŷclèś,7894,0.00838
evelyn,evélųn,7898,0.00837
denying,dėnŷiñg0,7992,0.00821
bryan,brŷán,8015,0.00817
analytical,análųticál,8028,0.00816
ruin,rüin,8054,0.00812
symphony,sųmþħóný,8090,0.00807
documented,docûmentéd,8095,0.00806
nazi,nazi!nātzï,8123,0.00802
microsystems,mîcrôsųstémś,8139,0.008
tyres,tŷŕèś,8154,0.00798
drying,drŷiñg0,8168,0.00796
plymouth,plųmòuπħ,8183,0.00794
chamberlain,ĉħâmbèŕlàín,8201,0.00792
extracts,extracts,8222,0.00787
symmetry,sųmm0étrý,8226,0.00787
cough,cough!cof,8227,0.00787
analyst,análųst,8264,0.00782
hygiene,hŷĝïènè,8315,0.00775
naive,naive!nîêv,8352,0.00771
cynical,çųnicál,8416,0.00761
postgraduate,postgraδüátè,8462,0.00756
reservoir,reservoir!reśévwā,8471,0.00755
carolyn,cãrólųn,8496,0.00752
casualty,caŝûáltý,8503,0.00751
systematically,sųstématicàll0ý,8527,0.00748
favours,fâvòùŕś,8542,0.00746
corrected,còŕrectėd,8543,0.00746
synthetic,sųnπħetic,8554,0.00745
graeme,grâemè,8579,0.00742
enzyme,enzŷmè,8598,0.0074
touches,tòuĉħėś,8634,0.00736
resume,reśümĕ--HETERONYM--reśümè,8635,0.00736
tackled,tack0lèd,8650,0.00734
reviewing,rêvĭëwiñg0,8654,0.00734
relying,rêlŷiñg0,8662,0.00733
bypass,bŷpass0,8673,0.00733
modify,modífŷ,8702,0.0073
spy,spŷ,8714,0.00728
buys,bùŷś,8754,0.00724
oneself,oneself!wunself,8778,0.00721
wycliffe,wŷcliff0è,8825,0.00716
kylie,kŷlìê,8901,0.00707
recurrent,rėcùŕrént,8921,0.00705
polymer,polųmèŕ,8947,0.00701
tyne,tŷnè,8959,0.007
cyprus,çŷprus,8981,0.00697
sh,ŝħ,9039,0.0069
nylon,nŷlon,9043,0.0069
triple,triplè,9065,0.00688
ongoing,ongôiñg0,9108,0.00684
prototype,prôtótŷpè,9175,0.00676
odour,ôdòùŕ,9180,0.00676
tumours,tûmòùŕś,9246,0.00669
jenna,jenn0á,9262,0.00667
honoured,ħonòùŕèd,9287,0.00664
luggage,lugg0áĝè,9290,0.00664
colouring,cőlòúriñg0,9353,0.00657
summarised,summ0árîśèd,9384,0.00654
labourers,lâbòúrèŕś,9397,0.00652
thy,τħŷ,9426,0.0065
wirral,wirr0al,9435,0.00649
scepticism,sceptiçiśm,9458,0.00648
organiser,ør0gánîśèŕ,9482,0.00646
butterfly,butt0èŕflŷ,9483,0.00645
polytechnics,polýtecħnics,9495,0.00644
recognises,recógnîśėś,9501,0.00644
labelling,lâbéll0iñg0,9506,0.00643
flicked,flick0èð,9612,0.00633
interviewing,intèŕvĭëwiñg0,9633,0.00631
typing,tŷpiñg0,9647,0.0063
interruption,intérr0upţìòn,9650,0.0063
hypotheses,hŷpoπħésêś,9700,0.00625
physiological,þħųśïóloĝicál,9719,0.00623
reverend,revérénd,9735,0.00622
eccentric,ecçentric,9748,0.00621
civilisation,civilîśâţìòn,9750,0.00621
undergraduate,undèŕgraδüátè,9752,0.00621
terrifying,terr0ífŷiñg0,9767,0.00619
homosexuality,hômósexûalitý,9791,0.00618
hybrid,hŷbríd,9813,0.00616
junctions,juncţìònś,9830,0.00614
dynamics,dŷnamics,9845,0.00613
reorganisation,rêørganîśâţìòn,9863,0.0061
motorists,môtórists,9870,0.0061
manoeuvre,mánöèùvŕè,9875,0.00609
masklin,masklin,9879,0.00609
lithuania,liπħûanïa,9902,0.00607
sewing,sewing!sôiñg0,9919,0.00606
genre,genre!ĝonré,9986,0.006
tougher,tougher!tufŕ,9996,0.00599
minimise,minimîśè,9997,0.00599
apologise,apolóĝîśè,10003,0.00598
lyons,lŷónś,10035,0.00595
laughs,laughs!lāfs,10049,0.00594
tearing,teáriñg0,10053,0.00593
puzzle,puzz0lè,10065,0.00593
grandson,grandsőn,10081,0.00591
spectacles,spectáclèś,10093,0.0059
crystals,crųstálś,10102,0.00589
syllabus,sųll0ábus,10113,0.00588
tyre,tŷŕè,10142,0.00586
cheerfully,ĉħèėŕfull0ý,10144,0.00586
fulfilment,fúlfilment,10177,0.00583
gastrin,gastrin,10182,0.00583
bourgeoisie,bourgeoisie!børjwāzê,10200,0.00582
syntax,sųntax,10209,0.00581
computerised,compûtérîśèd,10250,0.00577
yourselves,yøùrselvèś,10312,0.00572
luxembourg,luxémbøùŕg,10322,0.00571
symptom,sųmptóm,10335,0.0057
whereabouts,wħeŕèábõùts,10347,0.00569
myths,mųπħs,10352,0.00568
differentiated,diff0èŕenťïâtėd,10366,0.00567
typed,tŷpèð,10390,0.00565
hyde,hŷdè,10412,0.00564
gradient,grâdîent,10420,0.00562
multiply,multíplŷ,10432,0.00561
armoured,ārmòùŕèd,10452,0.0056
artefacts,ārtéfacts,10455,0.0056
lynn,lųnn0,10456,0.0056
reshuffle,rêŝħuff0lè,10486,0.00557
rhythms,rħųτħmś,10490,0.00557
offline,off0lînè,10497,0.00557
fen,fen,10505,0.00556
algorithm,algóriτħm,10516,0.00555
arse,ārsè,10542,0.00553
repertoire,repertoire!repèŕtwā,10557,0.00552
interviewer,intèŕvĭëwèŕ,10572,0.00551
arithmetic,áriπħmétic,10588,0.00549
vigour,vigòùŕ,10604,0.00548
lordships,lørdŝħips,10665,0.00544
environmentalists,envîrón0mentálists,10679,0.00543
stylistic,stŷlistic,10681,0.00543
insignificant,insignifícant,10686,0.00543
implying,implŷiñg0,10699,0.00542
mins,minś,10713,0.0054
nought,nought!nøt,10735,0.00539
ronni,ronn0ï,10748,0.00538
occupying,occ0ûpŷiñg0,10751,0.00538
aeroplane,àerôplânè,10756,0.00537
mysteries,mųstèrïèś,10774,0.00536
miracles,miráclèś,10837,0.0053
pyramid,pųrámid,10855,0.00529
chemists,cħemists,10878,0.00528
tudor,tûdòŕ,10885,0.00527
psychologist,p0sŷcħolóĝíst,10888,0.00527
sly,slŷ,10901,0.00526
midfielder,midfìêldèŕ,10914,0.00525
modelled,modéll0èd,10942,0.00523
physician,þħųśićián,10953,0.00522
neural,nèûrál,10962,0.00521
anxieties,añx0îétìêś,10981,0.00519
cyclists,çŷclists,11006,0.00518
dazzling,dazz0liñg0,11043,0.00515
endill,endill0,11086,0.00511
wonderfully,wőndèŕfùll0ý,11089,0.00511
resented,rêśentéd,11105,0.00509
hurricane,hurr0ícânè,11113,0.00509
litre,lïtr0é,11117,0.00509
grandma,grandmā,11136,0.00508
mystical,mųsticál,11161,0.00506
syrian,sųrïán,11168,0.00506
leukaemia,lèükàêmïa,11182,0.00505
luxurious,luxûrïòus,11185,0.00505
rhythmic,rħųτħmic,11228,0.00502
fiver,fîvèŕ,11247,0.005
stylish,stŷliŝħ,11255,0.005
bureaucrats,bûrèáùcrats,11260,0.005
chronicle,cħroniclè,11299,0.00498
mcdonald,mcdonáld,11325,0.00496
antibiotics,antîbîotics,11348,0.00494
immaculate,imm0acûlátè,11366,0.00493
discouraged,discòuráĝèd,11368,0.00493
hypothetical,hŷpóπħetícál,11380,0.00492
cumbria,cumbrïá,11407,0.0049
interrupt,intérr0upt,11442,0.00488
syllable,sųll0áblè,11453,0.00487
emphasises,emþħasîśéś,11469,0.00486
memoirs,memoirs!memwāz,11486,0.00485
ion,îon,11493,0.00484
enzymes,enzŷmèś,11499,0.00484
pizza,pïzz0a,11505,0.00484
psychic,p0sŷcħic,11506,0.00483
oesophagus,óèsoþħagus,11507,0.00483
maximise,maximîśè,11522,0.00482
civilised,civilîśèd,11579,0.00479
vapour,vâpòùŕ,11602,0.00478
reflux,rêflux,11622,0.00476
olympics,ólųmpics,11626,0.00476
dynasty,dŷnástý,11627,0.00476
relegation,relégâţìòn,11638,0.00475
cookery,cōòkérý,11645,0.00475
rye,rŷè,11714,0.0047
appellant,app0ell0ant,11715,0.0047
windscreen,windscrêèn,11739,0.00469
summat,summ0at,11774,0.00466
juan,j0υān,11814,0.00464
sylvia,sųlvïá,11828,0.00463
entrepreneurs,entrepreneurs!ontréprénèùŕś,11843,0.00462
viewer,vĭëwèŕ,11879,0.0046
typewriter,tŷpèw0rîtèŕ,11890,0.0046
recycled,rêçŷclèd,11933,0.00457
polymers,polųmèŕś,11934,0.00457
privatised,prîvátîśéd,11937,0.00457
baptist,baptist,11946,0.00456
eyed,èŷèd,11958,0.00456
mclaren,mclaren,11969,0.00455
chestnut,ĉħestnut,11971,0.00455
chuckled,ĉħuck0lèd,11973,0.00455
draught,draught!drāft,11974,0.00455
anthropologists,anπħrópolóĝists,11988,0.00453
faecal,fàêçal,12036,0.0045
adventurous,ádvenťùŕòus,12039,0.0045
skilful,skilful,12040,0.0045
criticise,critiçîśè,12044,0.0045
formulae,førmûlàê,12055,0.00449
evacuation,ėvacûâţìòn,12076,0.00447
favourably,fâvòúrablý,12077,0.00447
pretence,prêtençè,12091,0.00447
advert,advèŕt,12110,0.00446
litres,lïtr0éś,12115,0.00445
nazis,nazis!nātzêś,12120,0.00445
teresa,térĕśá,12123,0.00445
psychoanalysis,p0sŷcħôánalųsís,12125,0.00445
yanto,yantô,12148,0.00444
wry,w0rŷ,12160,0.00443
militia,miliţìá,12162,0.00443
standardised,standár0dîśèd,12194,0.00441
hysterical,hųstericál,12204,0.0044
moulded,môùldéd,12211,0.0044
disciples,disc0îplèś,12231,0.00439
paralysed,paralŷśèd,12239,0.00438
dye,dŷè,12251,0.00437
tolkien,tolkìên,12273,0.00435
crumpled,crumplèd,12305,0.00433
axes,axêś--HETERONYM--axėś,12326,0.00433
lyrics,lųrics,12361,0.00431
isobel,isóbel,12371,0.0043
ryder,rŷdèŕ,12414,0.00428
byzantine,bŷzántînè,12421,0.00428
specifying,speçífŷiñg0,12426,0.00427
saturated,saťúrâtėd,12465,0.00425
evacuated,ėvacûâtéd,12501,0.00423
batsman,batsman,12525,0.00422
meagre,mêàgŕè,12530,0.00422
gala,gālá,12532,0.00422
clyde,clŷdè,12546,0.00421
ensemble,ensemble!onsombl,12556,0.0042
eyebrow,èŷèbrõw0,12575,0.00419
accompaniment,ácc0ómpànimént,12587,0.00418
muffled,muff0lèd,12591,0.00418
ana,aná,12600,0.00417
